	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
0	Serpina6	2582.34747959841	8.64760690891142	0.46268233773486	18.690159972925	5.95342288933578e-78	8.93370638773727e-74
1	Amy2b	8044.68797155796	-6.1560470704043	0.332255491744053	-18.5280521266643	1.2264697383715e-76	9.2022024470014e-73
2	Amy2a5	1831.81467479238	-6.45260969533094	0.368747438894454	-17.4987240987397	1.46514603574825e-68	7.32866047081272e-65
3	Pnlip	1867643.4776905	-9.27874117128836	0.567521224590414	-16.3495932297245	4.3789334601347203e-60	1.64275688756954e-56
4	Amy2-ps1	199.370645974962	-6.90693175047468	0.445029356263719	-15.5201710926722	2.53374506059668e-54	7.604275675862761e-51
5	Prss1	5692.93324184971	7.2146292103657	0.475498399581382	15.1727728562647	5.3565238819885205e-52	1.33966662288533e-48
6	Tmed11	1469.89345565389	-9.43648119482527	0.656166022537479	-14.3812402207801	6.786736934282811e-47	1.4548824919406798e-43
7	Amy1	2680.73817583303	-4.76498603787145	0.34099931948942	-13.9735939796187	2.25931486692459e-44	4.2379098616338e-41
8	1810028F09Rik	16793.1023053257	-5.41460207569218	0.398409722043195	-13.5905370178319	4.5572432200468e-42	7.59844352889137e-39
9	Pnliprp2	88804.8489628841	-6.12369780494363	0.473426531420011	-12.9348428922562	2.86207545996594e-38	4.2948304352248996e-35
10	Zg16	196889.21534987	-5.99268295124351	0.476537930183454	-12.5754584717663	2.8812392244172896e-36	3.93053416378234e-33
11	Klk1b5	2326.98426049784	-6.48741498178532	0.523570023265899	-12.3907303579346	2.93359397763274e-35	3.66845926902974e-32
12	Aass	346.773646779556	-5.36074692124491	0.448850379781502	-11.9432825786056	7.03893309462339e-33	8.12509461676297e-30
13	Gjb1	764.451241592424	-3.23821934880407	0.278189246114906	-11.6403469725301	2.5696808668461103e-31	2.75433079199234e-28
14	Serpini2	17132.7269656634	-4.29623699779398	0.373660194475804	-11.4977111860176	1.35459934870884e-30	1.35514118844832e-27
15	Rnase1	376749.957478266	-5.06227376587137	0.441100113605233	-11.4764735027974	1.73201725015865e-30	1.62441567849255e-27
16	1810009J06Rik	3538.10355292846	8.77021742648859	0.77473202182407	11.3203239048252	1.04086625938928e-29	9.18778769905618e-27
17	Egf	691.013018287389	-4.76105640996651	0.422631733986753	-11.265260100217	1.9477595993154098e-29	1.6237822526292798e-26
18	Gm5441	474.57467074152	-4.22971096385081	0.382953776626281	-11.0449647503503	2.31858641254088e-28	1.8311951424520202e-25
19	Ggh	6050.37325740164	-3.82745359156472	0.349010266192321	-10.9665931415771	5.53176136192767e-28	4.15048054985433e-25
20	Ranbp3l	134.590321584291	-6.12253767478678	0.569531532721381	-10.7501294011441	5.91785372508862e-27	4.22872919041333e-24
21	Gp2	128922.651755898	-6.03629245615635	0.565509255284646	-10.674082518982	1.34580388748825e-26	9.17960597074942e-24
22	Klk1	81165.9860932903	-5.25779884064192	0.498328502085984	-10.5508691929781	5.0329321254250003e-26	3.28365997713598e-23
23	Cela1	1276408.364831	-6.18516912620081	0.587932775668858	-10.5201978562333	6.97270073592773e-26	4.3596811351388104e-23
