PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_711	chr13	98578778	98579004	+	511	NA	Intergenic	Intergenic	58519	NM_026685	68344	Mm.28766	NM_026685	ENSMUSG00000046082	Tmem174	0610009B10Rik|AA986094	transmembrane protein 174	protein-coding
Sanchez_et_al_peak_1236	chr18	66286796	66287038	+	490	NA	intron (NM_178793, intron 2 of 10)	intron (NM_178793, intron 2 of 10)	4921	NM_178793	320924	Mm.442049	NM_178793	ENSMUSG00000046318	Ccbe1	4933426F18Rik|9430093N24Rik|mKIAA1983	collagen and calcium binding EGF domains 1	protein-coding
Sanchez_et_al_peak_2102	chr6	87849841	87850081	+	485	NA	intron (NM_001355195, intron 1 of 4)	intron (NM_001355195, intron 1 of 4)	1145	NM_001355195	12785	Mm.290251	NM_013493	ENSMUSG00000030057	Cnbp	AA408710|Cnbp1|Znf9	cellular nucleic acid binding protein	protein-coding
Sanchez_et_al_peak_490	chr11	107573998	107574260	+	479	NA	intron (NM_001368755, intron 3 of 32)	intron (NM_001368755, intron 3 of 32)	26196	NM_001368755	78455	Mm.272047	NM_198298	ENSMUSG00000020721	Helz	3110078M01Rik|9430093I07Rik|9630002H22Rik|AI851979|DRHC	helicase with zinc finger domain	protein-coding
Sanchez_et_al_peak_882	chr15	67149817	67150075	+	462	NA	intron (NM_009177, intron 2 of 8)	intron (NM_009177, intron 2 of 8)	26936	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
Sanchez_et_al_peak_1735	chr4	101440137	101440380	+	433	NA	intron (NM_001177602, intron 2 of 5)	intron (NM_001177602, intron 2 of 5)	20555	NM_009647	11639	Mm.42040	NM_009647	ENSMUSG00000028527	Ak4	AK 4|Ak-3|Ak-4|Ak3|Ak3l1|D4Ertd274e	adenylate kinase 4	protein-coding
Sanchez_et_al_peak_1702	chr4	44065614	44065970	+	406	NA	intron (NM_015828, intron 2 of 11)	intron (NM_015828, intron 2 of 11)	6925	NM_001357539	50798	Mm.256718	NM_015828	ENSMUSG00000028479	Gne	2310066H07Rik|DMRV|GLCNE|IBM2|NM|Uae1	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	protein-coding
Sanchez_et_al_peak_478	chr11	102189483	102189725	+	403	NA	promoter-TSS (NM_175935)	promoter-TSS (NM_175935)	-95	NM_175935	68401	Mm.22385	NM_175935	ENSMUSG00000034793	G6pc3	0710001K01Rik|AU019276|AU045429|AV128920|AW545836|UGRP	glucose 6 phosphatase, catalytic, 3	protein-coding
Sanchez_et_al_peak_550	chr12	25232712	25232969	+	343	NA	Intergenic	Intergenic	103666	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
Sanchez_et_al_peak_1674	chr3	138143419	138143758	+	343	NA	promoter-TSS (NM_001348196)	promoter-TSS (NM_001348196)	71	NM_001348196	108943	Mm.471692	NM_175389	ENSMUSG00000004127	Trmt10a	3110023L08Rik|AA794508|Rg9mtd2|Rnmtd2	tRNA methyltransferase 10A	protein-coding
Sanchez_et_al_peak_2668	chrX	94213008	94213337	+	343	NA	promoter-TSS (NM_012010)	promoter-TSS (NM_012010)	-521	NM_012010	26905	Mm.218851	NM_012010	ENSMUSG00000035150	Eif2s3x	AA409828|AA547477|AI314668|Eif-2gx|eIF-2-gamma X	eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked	protein-coding
Sanchez_et_al_peak_695	chr13	75709161	75709439	+	343	NA	intron (NM_138953, intron 1 of 11)	intron (NM_138953, intron 1 of 11)	1816	NM_138953	192657	Mm.21288	NM_138953	ENSMUSG00000001542	Ell2	-	elongation factor RNA polymerase II 2	protein-coding
